grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	RP/Rsum	FC	pfp	P.value
1871	MLH1	2.8105	1.6307	2.7092	1.8212	0.9573	0.9098	1.4908	0.7055	1.4379	0.8649	-0.063	-0.1364	2.06	2.181	0	0
3519	LEPREL2	1.9009	1.1686	2.2599	1.177	1.0587	0.9963	0.9267	0.2248	1.1763	0.2351	0.0823	-0.0053	11.02	1.559	0.0247	2e-04
