grp_id	genes	Mn_H1L0	Mn_L1H0	Mn_H1M0	Mn_M1H0	Mn_L0M0	Mn_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
1649	DNMT1	-2.8679	-2.5274	-4.5631	-2.9817	1.8762	-0.8051	0.0041	0.0115	0.0	0.0029	0.0606	0.4208
2061	METAP2	-3.447	-2.0861	-2.0245	-3.2466	1.6399	-0.0407	0.0006	0.037	0.0429	0.0012	0.101	0.9675
