grp_id	genes	Mn_H1L0	Mn_L1H0	Mn_H1M0	Mn_M1H0	Mn_L0M0	Mn_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
1897	Atxn7l3b	2.8685	3.0911	4.5243	2.6565	0.6575	0.8009	0.0041	0.002	0.0	0.0079	0.5109	0.4232
2943	Zfp57	-1.8321	-3.4992	-3.3715	-3.1263	-0.5821	0.3876	0.0669	0.0005	0.0007	0.0018	0.5605	0.6983
