grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	RP/Rsum	FC	pfp	P.value
4155	NUCKS1	0.6246	0.851	0.608	0.8207	0.9319	1.0802	-0.679	-0.2328	-0.7179	-0.2851	-0.1018	0.1113	3.193	1.3935	1e-04	0
4703	AKAP8L	0.6857	0.5454	0.8195	0.5498	1.1879	0.8454	-0.5444	-0.8746	-0.2872	-0.863	0.2484	-0.2423	3.027	1.5608	2e-04	0
