grp_id	genes	Mn_H1L0	Mn_L1H0	Mn_H1M0	Mn_M1H0	Mn_L0M0	Mn_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
2038	NT5C2	-1.9346	-2.0431	-2.0611	-5.3353	1.1451	1.5863	0.053	0.041	0.0393	0.0	0.2522	0.1127
2061	METAP2	-3.447	-2.0861	-2.0245	-3.2466	1.6399	-0.0407	0.0006	0.037	0.0429	0.0012	0.101	0.9675
