grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
1871	MLH1	2.8105	1.6307	2.7092	1.8212	0.9573	0.9098	1.4908	0.7055	1.4379	0.8649	-0.063	-0.1364	0.0	0.0523	0.0	0.0056	0.8706	0.9086
3524	WDR75	1.3028	1.286	1.2321	1.4631	0.9981	0.8963	0.3816	0.3629	0.3011	0.549	-0.0027	-0.1579	0.2964	0.2881	0.1793	0.0074	0.9547	0.758
