grp_id	genes	Mn_H1L0	Mn_L1H0	Mn_H1M0	Mn_M1H0	Mn_L0M0	Mn_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
1871	MLH1	9.5973	3.7461	13.1364	7.6337	-0.4585	-0.6822	0.0	0.0002	0.0	0.0	0.6466	0.4951
2013	UBE2A	2.3855	2.7373	2.7156	2.0193	-0.4238	1.5559	0.0171	0.0062	0.0066	0.0435	0.6717	0.1197
3524	WDR75	2.3848	1.965	2.6553	4.8735	-0.0395	-0.7947	0.0171	0.0494	0.0079	0.0	0.9685	0.4268
