grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	RP/Rsum	FC	pfp	P.value
3593	EXOC2	0.8504	0.4527	0.8121	0.4683	0.9925	0.9605	-0.2338	-1.1434	-0.3003	-1.0945	-0.0109	-0.0581	5.566	1.6166	0.0012	0
1018	CRYZL1	0.9003	0.428	0.9153	0.4348	1.0303	0.96	-0.1515	-1.2243	-0.1277	-1.2016	0.0431	-0.0589	9.165	1.598	0.007	1e-04
