grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	RP/Rsum	FC	pfp	P.value
2740	TWISTNB	0.6685	0.3077	0.6628	0.4493	0.9944	0.6876	-0.581	-1.7004	-0.5934	-1.1542	-0.0081	-0.5404	2.515	2.0101	0	0
3604	MBOAT7	0.6402	0.7247	0.7728	0.6386	1.1394	1.1706	-0.6434	-0.4645	-0.3718	-0.647	0.1883	0.2272	14.37	1.4457	0.0163	1e-04
858	H2AFY,H2AFY2	0.9512	0.5339	0.9487	0.5436	0.9958	1.032	-0.0722	-0.9054	-0.076	-0.8794	-0.0061	0.0454	28.8	1.3978	0.084	0.0015
