grp_id	genes	ratio_H1L0	ratio_L1H0	ratio_H1M0	ratio_M1H0	ratio_L0M0	ratio_L1M1	log2ratio_H1L0	log2ratio_L1H0	log2ratio_H1M0	log2ratio_M1H0	log2ratio_L0M0	log2ratio_L1M1	FC2	ri	p.value	f.value
2740	TWISTNB	0.6685	0.3077	0.6628	0.4493	0.9944	0.6876	-0.581	-1.7004	-0.5934	-1.1542	-0.0081	-0.5404	1.7984	0.0036	0.0739	0.037
3604	MBOAT7	0.6402	0.7247	0.7728	0.6386	1.1394	1.1706	-0.6434	-0.4645	-0.3718	-0.647	0.1883	0.2272	1.4653	0.0223	0.0856	0.0428
