grp_id	genes	Mn_H1L0	Mn_L1H0	Mn_H1M0	Mn_M1H0	Mn_L0M0	Mn_L1M1	pval_H1L0	pval_L1H0	pval_H1M0	pval_M1H0	pval_L0M0	pval_L1M1
2586	Rhot1,Rhot2	2.1029	1.6792	1.7987	2.9837	-0.8547	-1.1813	0.0355	0.0931	0.0721	0.0028	0.3927	0.2375
2818	Glmn	4.8387	2.6341	4.1496	1.6826	1.4495	0.9141	0.0	0.0084	0.0	0.0925	0.1472	0.3607
